Leverage_Ratio,Trial,Method,Param_Error
0.05,11,OLS,2.194768842481819
0.05,11,Huber,0.031158686999755787
0.05,11,Cauchy,2.194768842481819
0.05,11,Barron,0.9153787693413376
0.05,12,Lf_dual,0.02698412961128742
0.05,12,OLS,1.5052893001763794
0.05,12,Huber,1.5052893001763794
0.05,12,Cauchy,1.5052893001763794
0.05,12,Barron,0.8492716526075339
0.05,13,Lf_dual,0.030928808468064086
0.05,13,OLS,1.4034738792656414
0.05,13,Huber,0.02618567597954584
0.05,13,Cauchy,1.4034738792656414
0.05,13,Barron,1.220176697700357
0.05,14,Lf_dual,0.02096049897722129
0.05,14,OLS,1.521148942169613
0.05,14,Huber,0.046845932140043935
0.05,14,Cauchy,1.521148942169613
0.05,14,Barron,0.637025433562994
0.05,15,Lf_dual,0.038185620693996176
0.05,15,OLS,1.453259371636218
0.05,15,Huber,0.6613802241997573
0.05,15,Cauchy,1.453259371636218
0.05,15,Barron,0.7809840652557879
0.05,16,Lf_dual,0.04225014197031221
0.05,16,OLS,1.5894862439249677
0.05,16,Huber,0.023684092981196298
0.05,16,Cauchy,1.5894862439249677
0.05,16,Barron,0.8100107548889184
0.05,17,Lf_dual,0.0368183880945187
0.05,17,OLS,1.514805272621858
0.05,17,Huber,0.7117045424729895
0.05,17,Cauchy,1.514805272621858
0.05,17,Barron,0.7550298068246803
0.05,18,Lf_dual,0.06185146558603659
0.05,18,OLS,1.2910416372359907
0.05,18,Huber,1.2910416372359907
0.05,18,Cauchy,1.2910416372359907
0.05,18,Barron,0.8275963121019757
0.05,19,Lf_dual,0.023911149524895467
0.05,19,OLS,1.7732417443947541
0.05,19,Huber,0.40079895344768895
0.05,19,Cauchy,1.7732417443947541
0.05,19,Barron,1.9895539087552054
0.1,0,Lf_dual,0.033967038061990404
0.1,0,OLS,1.3779759743491373
0.1,0,Huber,0.02188353093021206
0.1,0,Cauchy,1.3779759743491373
0.1,0,Barron,1.8879127632167632
0.1,1,Lf_dual,0.04557202090614139
0.1,1,OLS,1.4939383723459847
0.1,1,Huber,1.4939383723459847
0.1,1,Cauchy,1.4939383723459847
0.1,1,Barron,1.0514744810071983
0.1,2,Lf_dual,0.05045964507678461
0.1,2,OLS,1.6868596186561506
0.1,2,Huber,0.21608640635271978
0.1,2,Cauchy,1.6868596186561506
0.1,2,Barron,0.7863875177847774
