n,p,Magnitude,Leverage_Ratio,Trial,Method,Param_Error
100,5,4.0,0.2,6,Barron,0.9183751114393391
100,5,4.0,0.2,7,Lf_dual,0.0545697418776728
100,5,4.0,0.2,7,OLS,1.0858382737329306
100,5,4.0,0.2,7,Huber,0.01763118026266235
100,5,4.0,0.2,7,Cauchy,0.7312754163798716
100,5,4.0,0.2,7,Barron,1.2207648836547491
100,5,4.0,0.2,8,Lf_dual,0.02733360817775155
100,5,4.0,0.2,8,OLS,0.2511692538421104
100,5,4.0,0.2,8,Huber,0.05111828503459271
100,5,4.0,0.2,8,Cauchy,0.2511692538421104
100,5,4.0,0.2,8,Barron,0.2733071330251254
100,5,4.0,0.2,9,Lf_dual,0.05710360472219788
100,5,4.0,0.2,9,OLS,0.5074226375490262
100,5,4.0,0.2,9,Huber,0.1221147749847975
100,5,4.0,0.2,9,Cauchy,0.5074226375490262
100,5,4.0,0.2,9,Barron,0.40910461980107277
100,5,4.0,0.2,10,Lf_dual,0.0418943252421151
100,5,4.0,0.2,10,OLS,0.547508667131225
100,5,4.0,0.2,10,Huber,0.547508667131225
100,5,4.0,0.2,10,Cauchy,0.547508667131225
100,5,4.0,0.2,10,Barron,0.8742562388638595
100,5,4.0,0.2,11,Lf_dual,0.05210030369125681
100,5,4.0,0.2,11,OLS,0.7725996778315934
100,5,4.0,0.2,11,Huber,0.7725996778315934
100,5,4.0,0.2,11,Cauchy,0.7725996778315934
100,5,4.0,0.2,11,Barron,1.6323813173799613
100,5,4.0,0.2,12,Lf_dual,0.03650682753361072
100,5,4.0,0.2,12,OLS,1.192943346867294
100,5,4.0,0.2,12,Huber,1.192943346867294
100,5,4.0,0.2,12,Cauchy,1.192943346867294
100,5,4.0,0.2,12,Barron,0.7325109702094246
100,5,4.0,0.2,13,Lf_dual,0.036581978285728775
100,5,4.0,0.2,13,OLS,1.2116252832057774
100,5,4.0,0.2,13,Huber,0.36022878891365795
100,5,4.0,0.2,13,Cauchy,0.5771600886566673
100,5,4.0,0.2,13,Barron,0.8828426739427727
100,5,4.0,0.2,14,Lf_dual,0.04217214456087212
100,5,4.0,0.2,14,OLS,0.8546279529758217
100,5,4.0,0.2,14,Huber,0.530907891612131
100,5,4.0,0.2,14,Cauchy,0.8546279529758217
100,5,4.0,0.2,14,Barron,0.8825638338827375
100,5,4.0,0.2,15,Lf_dual,0.04492555626836444
100,5,4.0,0.2,15,OLS,0.4503677044979063
100,5,4.0,0.2,15,Huber,0.06827284292867133
100,5,4.0,0.2,15,Cauchy,0.4503677044979063
100,5,4.0,0.2,15,Barron,0.6996592694897846
100,5,4.0,0.2,16,Lf_dual,0.024345305113016632
100,5,4.0,0.2,16,OLS,1.1965017007495826
100,5,4.0,0.2,16,Huber,0.03584212136095101
100,5,4.0,0.2,16,Cauchy,0.6898727547552745
100,5,4.0,0.2,16,Barron,0.5780030279181221
100,5,4.0,0.2,17,Lf_dual,0.04365138349324058
100,5,4.0,0.2,17,OLS,0.7505787483268962
100,5,4.0,0.2,17,Huber,0.20104838401541045
100,5,4.0,0.2,17,Cauchy,0.7505787483268962
100,5,4.0,0.2,17,Barron,0.5718809715672211
100,5,4.0,0.2,18,Lf_dual,0.034483415146526926
100,5,4.0,0.2,18,OLS,0.8526598901626966
100,5,4.0,0.2,18,Huber,0.8526598901626966
100,5,4.0,0.2,18,Cauchy,0.8526598901626966
100,5,4.0,0.2,18,Barron,0.5374194868798197
100,5,4.0,0.2,19,Lf_dual,0.039059444575854724
100,5,4.0,0.2,19,OLS,1.4140534147064323
100,5,4.0,0.2,19,Huber,1.4140534147064323
100,5,4.0,0.2,19,Cauchy,1.4140534147064323
100,5,4.0,0.2,19,Barron,1.0297617569768347
100,5,8.0,0.1,0,Lf_dual,0.028666061263548044
100,5,8.0,0.1,0,OLS,0.9411312320429672
100,5,8.0,0.1,0,Huber,0.030759208326099206
100,5,8.0,0.1,0,Cauchy,0.9411312320429672
100,5,8.0,0.1,0,Barron,0.7658436290281018
100,5,8.0,0.1,1,Lf_dual,0.04100847992440457
100,5,8.0,0.1,1,OLS,1.216667128883959
100,5,8.0,0.1,1,Huber,0.38602786465232836
100,5,8.0,0.1,1,Cauchy,1.216667128883959
100,5,8.0,0.1,1,Barron,0.553503810559646
100,5,8.0,0.1,2,Lf_dual,0.040963457195894386
100,5,8.0,0.1,2,OLS,1.7108143094437158
100,5,8.0,0.1,2,Huber,0.03702791882892908
100,5,8.0,0.1,2,Cauchy,1.0082981539981306
100,5,8.0,0.1,2,Barron,0.5844051030096503
100,5,8.0,0.1,3,Lf_dual,0.05187205062284344
100,5,8.0,0.1,3,OLS,1.7374366562036925
100,5,8.0,0.1,3,Huber,1.7374366562036925
100,5,8.0,0.1,3,Cauchy,1.7374366562036925
100,5,8.0,0.1,3,Barron,0.4056173222144372
100,5,8.0,0.1,4,Lf_dual,0.05318641210511
100,5,8.0,0.1,4,OLS,1.3229791558974813
100,5,8.0,0.1,4,Huber,1.0793250739603815
100,5,8.0,0.1,4,Cauchy,0.5128288963981542
100,5,8.0,0.1,4,Barron,1.297650387232545
100,5,8.0,0.1,5,Lf_dual,0.13260896379103576
100,5,8.0,0.1,5,OLS,1.2148431878347725
100,5,8.0,0.1,5,Huber,0.5576010565048782
100,5,8.0,0.1,5,Cauchy,1.2148431878347725
100,5,8.0,0.1,5,Barron,0.672021234528376
100,5,8.0,0.1,6,Lf_dual,0.03369302736682786
100,5,8.0,0.1,6,OLS,1.4239394920903607
100,5,8.0,0.1,6,Huber,1.4239394920903607
100,5,8.0,0.1,6,Cauchy,1.4239394920903607
100,5,8.0,0.1,6,Barron,1.214143440879019
100,5,8.0,0.1,7,Lf_dual,0.04263568250192755
100,5,8.0,0.1,7,OLS,2.8732629654869695
100,5,8.0,0.1,7,Huber,0.9758105613741662
100,5,8.0,0.1,7,Cauchy,2.0747496668716874
100,5,8.0,0.1,7,Barron,0.779564189009776
100,5,8.0,0.1,8,Lf_dual,0.04393602268601667
100,5,8.0,0.1,8,OLS,0.9921737570328696
100,5,8.0,0.1,8,Huber,0.04486584929466211
100,5,8.0,0.1,8,Cauchy,0.9921737570328696
100,5,8.0,0.1,8,Barron,0.4826054059336035
100,5,8.0,0.1,9,Lf_dual,0.0461378307873502
100,5,8.0,0.1,9,OLS,1.0110055050430433
100,5,8.0,0.1,9,Huber,0.40790601545568184
100,5,8.0,0.1,9,Cauchy,1.0110055050430433
100,5,8.0,0.1,9,Barron,1.2446943160792345
100,5,8.0,0.1,10,Lf_dual,0.058885206569019174
100,5,8.0,0.1,10,OLS,0.6583407439496519
100,5,8.0,0.1,10,Huber,0.03493987681141002
100,5,8.0,0.1,10,Cauchy,0.6583407439496519
100,5,8.0,0.1,10,Barron,0.8446695231310509
100,5,8.0,0.1,11,Lf_dual,0.03647577371708143
100,5,8.0,0.1,11,OLS,1.2189716686072818
100,5,8.0,0.1,11,Huber,1.2189716686072818
100,5,8.0,0.1,11,Cauchy,1.2189716686072818
100,5,8.0,0.1,11,Barron,1.3268175848463346
100,5,8.0,0.1,12,Lf_dual,0.03676769292128416
100,5,8.0,0.1,12,OLS,1.1378031613194317
100,5,8.0,0.1,12,Huber,0.029286569407479732
100,5,8.0,0.1,12,Cauchy,1.1378031613194317
100,5,8.0,0.1,12,Barron,0.9437093137432557
100,5,8.0,0.1,13,Lf_dual,0.03429881449572982
100,5,8.0,0.1,13,OLS,1.64093876588154
