Dataset,Outlier_Frac,Trial,Config,Rel_Error
DanWood,0.1,3,C1d,0.016895952871768625
DanWood,0.1,4,C1d,0.005287415247490673
DanWood,0.1,5,C1d,0.027586217213979334
DanWood,0.1,6,C1d,0.005288497976245825
DanWood,0.1,7,C1d,0.005259994762246263
DanWood,0.1,8,C1d,0.018890981534531948
DanWood,0.1,9,C1d,0.031120909222272373
DanWood,0.1,10,C1d,0.0188909715617989
DanWood,0.1,11,C1d,0.011497528043582568
DanWood,0.1,12,C1d,0.04126807261981458
DanWood,0.1,13,C1d,0.005260662841014039
DanWood,0.1,14,C1d,0.00525997279018209
DanWood,0.1,15,C1d,0.005286865855454803
DanWood,0.1,16,C1d,0.02758622086331945
DanWood,0.1,17,C1d,0.005258500894020684
DanWood,0.1,18,C1d,0.027586138129384995
DanWood,0.1,19,C1d,0.027586280429036877
DanWood,0.2,0,C1d,0.02758624951051714
DanWood,0.2,1,C1d,0.005288886316718883
DanWood,0.2,2,C1d,0.031120839893097708
DanWood,0.2,3,C1d,0.016895952871768625
DanWood,0.2,4,C1d,0.005287415247490673
DanWood,0.2,5,C1d,0.027586217213979334
DanWood,0.2,6,C1d,0.005288497976245825
DanWood,0.2,7,C1d,0.005259994762246263
DanWood,0.2,8,C1d,0.018890981534531948
DanWood,0.2,9,C1d,0.031120909222272373
DanWood,0.2,10,C1d,0.0188909715617989
DanWood,0.2,11,C1d,0.011497528043582568
DanWood,0.2,12,C1d,0.04126807261981458
DanWood,0.2,13,C1d,0.005260662841014039
DanWood,0.2,14,C1d,0.00525997279018209
DanWood,0.2,15,C1d,0.005286865855454803
DanWood,0.2,16,C1d,0.02758622086331945
DanWood,0.2,17,C1d,0.005258500894020684
DanWood,0.2,18,C1d,0.027586138129384995
DanWood,0.2,19,C1d,0.027586280429036877
DanWood,0.3,0,C1d,0.022377012703173268
DanWood,0.3,1,C1d,0.018886964916138373
DanWood,0.3,2,C1d,0.02758661999416783
DanWood,0.3,3,C1d,0.01355581174137393
DanWood,0.3,4,C1d,0.04127592078158679
DanWood,0.3,5,C1d,0.010039888069245067
DanWood,0.3,6,C1d,0.013484029273634783
DanWood,0.3,7,C1d,0.022379109354504843
DanWood,0.3,8,C1d,0.031120445526475977
DanWood,0.3,9,C1d,0.02237867619344049
DanWood,0.3,10,C1d,0.011744059165699964
DanWood,0.3,11,C1d,0.01888867266409054
DanWood,0.3,12,C1d,0.011743596492033027
DanWood,0.3,13,C1d,0.027587205376018654
DanWood,0.3,14,C1d,0.031122172822779785
DanWood,0.3,15,C1d,0.04127333997757864
DanWood,0.3,16,C1d,0.031125407368812873
DanWood,0.3,17,C1d,0.031123906990787327
DanWood,0.3,18,C1d,0.01174516835206626
DanWood,0.3,19,C1d,0.022381116701327967
Misra1b,0.0,0,C1d,0.11241936979816956
Misra1b,0.1,0,C1d,0.11241936979818067
Misra1b,0.1,1,C1d,0.1124193697981588
Misra1b,0.1,2,C1d,0.11241936979801982
Misra1b,0.1,3,C1d,0.1124193697981618
Misra1b,0.1,4,C1d,0.11241936979818884
Misra1b,0.1,5,C1d,0.11241936979818234
Misra1b,0.1,6,C1d,0.11241936979814282
Misra1b,0.1,7,C1d,0.11241936979818436
Misra1b,0.1,8,C1d,0.11241936979799796
Misra1b,0.1,9,C1d,0.11241936979805728
Misra1b,0.1,10,C1d,0.11241936979802386
Misra1b,0.1,11,C1d,0.1124193697981665
Misra1b,0.1,12,C1d,0.11241936979818251
Misra1b,0.1,13,C1d,0.1124193697981805
Misra1b,0.1,14,C1d,0.11241936979818436
Misra1b,0.1,15,C1d,0.11241936979818648
Misra1b,0.1,16,C1d,0.1124193697981788
Misra1b,0.1,17,C1d,0.1124193697980037
Misra1b,0.1,18,C1d,0.11241936979818015
Misra1b,0.1,19,C1d,0.11241936979818234
Misra1b,0.2,0,C1d,0.11241936979797881
Misra1b,0.2,1,C1d,0.11241936979810901
Misra1b,0.2,2,C1d,0.1124193697981685
Misra1b,0.2,3,C1d,0.11241936979821424
Misra1b,0.2,4,C1d,0.11241936979801255
Misra1b,0.2,5,C1d,0.11241936979819422
Misra1b,0.2,6,C1d,0.1124193697981778
Misra1b,0.2,7,C1d,0.11241936979801484
Misra1b,0.2,8,C1d,0.11241936979813788
Misra1b,0.2,9,C1d,0.11241936979801966
Misra1b,0.2,10,C1d,0.11241936979811198
Misra1b,0.2,11,C1d,0.11241936979804207
Misra1b,0.2,12,C1d,0.11241936979801989
Misra1b,0.2,13,C1d,0.1124193697979724
Misra1b,0.2,14,C1d,0.11241936979798749
Misra1b,0.2,15,C1d,0.1124193697980293
Misra1b,0.2,16,C1d,0.11241936979802786
Misra1b,0.2,17,C1d,0.11241936979800997
Misra1b,0.2,18,C1d,0.11241936979798003
Misra1b,0.2,19,C1d,0.11241936979803771
Misra1b,0.3,0,C1d,0.11241936979804223
Misra1b,0.3,1,C1d,0.11241936979796971
Misra1b,0.3,2,C1d,0.11241936979824559
Misra1b,0.3,3,C1d,0.11241936979823852
Misra1b,0.3,4,C1d,0.11241936979794857
Misra1b,0.3,5,C1d,0.11241936979818384
Misra1b,0.3,6,C1d,0.11241936979805649
Misra1b,0.3,7,C1d,0.11241936979809292
Misra1b,0.3,8,C1d,0.11241936979809483
Misra1b,0.3,9,C1d,0.1124193697980667
Misra1b,0.3,10,C1d,0.11241936979823906
Misra1b,0.3,11,C1d,0.11241936979793792
Misra1b,0.3,12,C1d,0.1124193697981024
Misra1b,0.3,13,C1d,0.11241936979797054
Misra1b,0.3,14,C1d,0.11241936979796335
Misra1b,0.3,15,C1d,0.11241936979803384
Misra1b,0.3,16,C1d,0.11241936979797122
Misra1b,0.3,17,C1d,0.11241936979801602
Misra1b,0.3,18,C1d,0.11241936979801957
Misra1b,0.3,19,C1d,0.11241936979797605
Kirby2,0.0,0,C1d,0.10405089835107033
Kirby2,0.1,0,C1d,0.10405089835104346
Kirby2,0.1,1,C1d,0.10405080277435907
Kirby2,0.1,2,C1d,0.10405089628855974
Kirby2,0.1,3,C1d,0.10405080189098741
Kirby2,0.1,4,C1d,0.10405089835110777
Kirby2,0.1,5,C1d,0.10405080064135437
Kirby2,0.1,6,C1d,0.10405089835108104
Kirby2,0.1,7,C1d,0.10405089835112609
Kirby2,0.1,8,C1d,0.10405080048873466
Kirby2,0.1,9,C1d,0.1040508983510589
Kirby2,0.1,10,C1d,0.10405089835109407
Kirby2,0.1,11,C1d,0.1040507994639195
Kirby2,0.1,12,C1d,0.10405089835111012
Kirby2,0.1,13,C1d,0.10405089835103716
Kirby2,0.1,14,C1d,0.104050898351049
Kirby2,0.1,15,C1d,0.10405089835108783
Kirby2,0.1,16,C1d,0.10405089835096556
Kirby2,0.1,17,C1d,0.10405089835103754
Kirby2,0.1,18,C1d,0.1040508983508805
Kirby2,0.1,19,C1d,0.10405089835109656
Kirby2,0.2,0,C1d,0.10405089835110429
Kirby2,0.2,1,C1d,0.10405080144222965
Kirby2,0.2,2,C1d,0.10405089835149381
Kirby2,0.2,3,C1d,0.10405089835107183
Kirby2,0.2,4,C1d,0.10405080038525741
Kirby2,0.2,5,C1d,0.10405089835113092
Kirby2,0.2,6,C1d,0.10405080117031885
Kirby2,0.2,7,C1d,0.10405089835094745
Kirby2,0.2,8,C1d,0.10405089835092911
Kirby2,0.2,9,C1d,0.10405084238028742
Kirby2,0.2,10,C1d,0.10405081971903969
Kirby2,0.2,11,C1d,0.10405080298209367
Kirby2,0.2,12,C1d,0.1040508006521705
Kirby2,0.2,13,C1d,0.10405089835112699
Kirby2,0.2,14,C1d,0.10405079988896257
Kirby2,0.2,15,C1d,0.10405089835108924
Kirby2,0.2,16,C1d,0.10405089835108416
Kirby2,0.2,17,C1d,0.10405089835111256
Kirby2,0.2,18,C1d,0.10405089835103448
Kirby2,0.2,19,C1d,0.10405089835111972
Kirby2,0.3,0,C1d,0.10405089835114964
Kirby2,0.3,1,C1d,0.1040508983508578
Kirby2,0.3,2,C1d,0.10405089835105205
Kirby2,0.3,3,C1d,0.10405089835107167
Kirby2,0.3,4,C1d,0.10405089835116153
Kirby2,0.3,5,C1d,0.104050898350978
