Dataset,Outlier_Frac,Trial,re_new,re_pub
Chwirut1,0.3,16,0.4736138323124169,0.4736138323124177
Chwirut1,0.3,17,0.7292506920207865,0.7292506920207852
Chwirut1,0.3,18,0.21237354920314291,0.2123735492031421
Chwirut1,0.3,19,1.706611422103715,1.7066114221037023
Lanczos3,0.0,0,5.3333719943279004e-08,5.333371912966805e-08
Lanczos3,0.0,1,5.3333719943279004e-08,5.333371912966805e-08
Lanczos3,0.0,2,5.3333719943279004e-08,5.333371912966805e-08
Lanczos3,0.0,3,5.3333719943279004e-08,5.333371912966805e-08
Lanczos3,0.0,4,5.3333719943279004e-08,5.333371912966805e-08
Lanczos3,0.0,5,5.3333719943279004e-08,5.333371912966805e-08
Lanczos3,0.0,6,5.3333719943279004e-08,5.333371912966805e-08
Lanczos3,0.0,7,5.3333719943279004e-08,5.333371912966805e-08
Lanczos3,0.0,8,5.3333719943279004e-08,5.333371912966805e-08
Lanczos3,0.0,9,5.3333719943279004e-08,5.333371912966805e-08
Lanczos3,0.0,10,5.3333719943279004e-08,5.333371912966805e-08
Lanczos3,0.0,11,5.3333719943279004e-08,5.333371912966805e-08
Lanczos3,0.0,12,5.3333719943279004e-08,5.333371912966805e-08
Lanczos3,0.0,13,5.3333719943279004e-08,5.333371912966805e-08
Lanczos3,0.0,14,5.3333719943279004e-08,5.333371912966805e-08
Lanczos3,0.0,15,5.3333719943279004e-08,5.333371912966805e-08
Lanczos3,0.0,16,5.3333719943279004e-08,5.333371912966805e-08
Lanczos3,0.0,17,5.3333719943279004e-08,5.333371912966805e-08
Lanczos3,0.0,18,5.3333719943279004e-08,5.333371912966805e-08
Lanczos3,0.0,19,5.3333719943279004e-08,5.333371912966805e-08
Lanczos3,0.1,0,1.4790460125026053,1.479046012503585
Lanczos3,0.1,1,16.285218577237355,16.28521857723757
Lanczos3,0.1,2,2.247511489883254,2.2475114898835487
Lanczos3,0.1,3,5.841861760516573,5.841861754137072
Lanczos3,0.1,4,5.2849074484537875,5.284907448468879
Lanczos3,0.1,5,3.2016380264537703,3.2016380264266
Lanczos3,0.1,6,1.4342320861349636,1.434232086134965
Lanczos3,0.1,7,4.771747534414536,4.771691878602586
